MODEL_ID,POPULATION_ID,OBSERVATION_ID,SCORE
eltm-pop-1,2,86,0.31007615
eltm-pop-1,2,87,0.31007615
eltm-pop-1,2,88,0.026906505
eltm-pop-1,2,89,0.036638644
eltm-pop-1,2,90,0.16583808
eltm-pop-1,2,91,0.31007615
eltm-pop-1,2,92,0.31007615
eltm-pop-1,2,93,0.12178734
eltm-pop-1,2,94,0.31007615
eltm-pop-1,2,95,0.12178734
eltm-pop-1,2,96,0.12178734
eltm-pop-1,2,97,0.16583808
eltm-pop-1,2,98,0.12698357
eltm-pop-1,2,99,0.31007615
eltm-pop-1,2,100,0.12178734
eltm-pop-1,2,101,0.16583808
eltm-pop-1,2,102,0.31007615
eltm-pop-1,2,103,0.31007615
eltm-pop-1,2,104,0.036638644
eltm-pop-1,2,105,0.31007615
eltm-pop-1,2,106,0.31007615
eltm-pop-1,2,107,0.31007615
eltm-pop-1,2,108,0.31007615
eltm-pop-1,2,109,0.12178734
eltm-pop-1,2,110,0.12178734
eltm-pop-1,2,111,0.16583808
eltm-pop-1,2,112,0.16583808
eltm-pop-1,2,113,0.31007615
eltm-pop-1,2,114,0.31007615
eltm-pop-1,2,115,0.31007615
eltm-pop-1,2,116,0.31007615
eltm-pop-1,2,117,0.04109443
eltm-pop-1,2,118,0.011812424
eltm-pop-1,2,119,0.036638644
eltm-pop-1,2,120,0.026906505
eltm-pop-1,2,121,0.12178734
eltm-pop-1,2,122,0.12698357
eltm-pop-1,2,123,0.31007615
eltm-pop-1,2,124,0.10631182
eltm-pop-1,2,125,0.026906505
eltm-pop-1,2,126,0.026906505
eltm-pop-1,2,127,0.31007615
eltm-pop-1,2,128,0.31007615
eltm-pop-1,2,129,0.31007615
eltm-pop-1,2,130,0.12178734
eltm-pop-1,2,131,0.026906505
eltm-pop-1,2,132,0.011812424
eltm-pop-1,2,133,0.026906505
eltm-pop-1,2,134,0.04109443
eltm-pop-1,2,135,0.31007615
eltm-pop-1,2,136,0.16583808
eltm-pop-1,2,137,0.036638644
eltm-pop-1,2,138,0.12178734
eltm-pop-1,2,139,0.12178734
eltm-pop-1,2,140,0.12178734
eltm-pop-1,2,141,0.31007615
eltm-pop-1,2,142,0.16583808
eltm-pop-1,2,143,0.31007615
eltm-pop-1,2,144,0.16583808
eltm-pop-1,2,145,0.31007615
eltm-pop-1,2,146,0.31007615
eltm-pop-1,2,147,0.31007615
eltm-pop-1,2,148,0.026906505
eltm-pop-1,2,149,0.011812424
eltm-pop-1,2,150,0.16583808
eltm-pop-1,2,151,0.026906505
eltm-pop-1,2,152,0.16583808
eltm-pop-1,2,153,0.12178734
eltm-pop-1,2,154,0.12178734
eltm-pop-1,2,155,0.31007615
eltm-pop-1,2,156,0.12178734
eltm-pop-1,2,157,0.011812424
eltm-pop-1,2,158,0.12178734
eltm-pop-1,2,159,0.12178734
eltm-pop-1,2,160,0.16583808
eltm-pop-1,2,161,0.31007615
eltm-pop-1,2,162,0.31007615
eltm-pop-1,2,163,0.011812424
eltm-pop-1,2,164,0.31007615
eltm-pop-1,2,165,0.011812424
eltm-pop-1,2,166,0.12698357
eltm-pop-1,2,167,0.10631182
eltm-pop-1,2,168,0.026906505
eltm-pop-1,2,169,0.31007615
eltm-pop-1,2,170,0.12178734
eltm-pop-1,2,171,0.16583808
eltm-pop-1,2,172,0.026906505
eltm-pop-1,2,173,0.31007615
eltm-pop-1,2,174,0.31007615
eltm-pop-1,2,175,0.011812424
eltm-pop-1,2,176,0.31007615
eltm-pop-1,2,177,0.10631182
eltm-pop-1,2,178,0.31007615
eltm-pop-1,2,179,0.31007615
eltm-pop-1,2,180,0.16583808
eltm-pop-1,2,181,0.31007615
eltm-pop-1,2,182,0.12178734
eltm-pop-1,2,183,0.011812424
eltm-pop-1,2,184,0.12698357
eltm-pop-1,2,185,0.31007615
eltm-pop-1,2,186,0.12698357
eltm-pop-1,2,187,0.026906505
eltm-pop-1,2,188,0.12178734
eltm-pop-1,2,189,0.31007615
eltm-pop-1,2,190,0.31007615
eltm-pop-1,2,191,0.31007615
eltm-pop-1,2,192,0.31007615
eltm-pop-1,2,193,0.16583808
eltm-pop-1,2,194,0.31007615
eltm-pop-1,2,195,0.011570099
eltm-pop-1,2,196,0.12178734
eltm-pop-1,2,197,0.16583808
eltm-pop-1,2,198,0.31007615
eltm-pop-1,2,199,0.12178734
eltm-pop-1,2,200,0.31007615
eltm-pop-1,2,201,0.31007615
eltm-pop-1,2,202,0.16583808
eltm-pop-1,2,203,0.026906505
eltm-pop-1,2,204,0.31007615
eltm-pop-1,2,205,0.036638644
eltm-pop-1,2,206,0.31007615
eltm-pop-1,2,207,0.026906505
eltm-pop-1,2,208,0.31007615
eltm-pop-1,2,209,0.026906505
eltm-pop-1,2,210,0.011812424
eltm-pop-1,2,211,0.12178734
eltm-pop-1,2,212,0.12178734
eltm-pop-1,2,213,0.12698357
eltm-pop-1,2,214,0.16583808
eltm-pop-1,2,215,0.12178734
eltm-pop-1,2,216,0.31007615
eltm-pop-1,2,217,0.16583808
eltm-pop-1,2,218,0.31007615
eltm-pop-1,2,219,0.016829146
eltm-pop-1,2,220,0.008496791
eltm-pop-1,2,221,0.008496791
eltm-pop-1,2,222,0.12178734
eltm-pop-1,2,223,0.31007615
eltm-pop-1,2,224,0.12178734
eltm-pop-1,2,225,0.10631182
eltm-pop-1,2,226,0.31007615
eltm-pop-1,2,227,0.12178734
eltm-pop-1,2,228,0.12698357
eltm-pop-1,2,229,0.12178734
eltm-pop-1,2,230,0.12178734
eltm-pop-1,2,231,0.12178734
eltm-pop-1,2,232,0.31007615
eltm-pop-1,2,233,0.0
eltm-pop-1,2,234,0.31007615
eltm-pop-1,2,235,0.026906505
eltm-pop-1,2,236,0.31007615
eltm-pop-1,2,237,0.026906505
eltm-pop-1,2,238,0.12178734
eltm-pop-1,2,239,0.12178734
eltm-pop-1,2,240,0.31007615
eltm-pop-1,2,241,0.16583808
eltm-pop-1,2,242,0.16583808
eltm-pop-1,2,243,0.008496791
eltm-pop-1,2,244,0.31007615
eltm-pop-1,2,245,0.026906505
eltm-pop-1,2,246,0.12178734
eltm-pop-1,2,247,0.31007615
eltm-pop-1,2,248,0.16583808
eltm-pop-1,2,249,0.31007615
eltm-pop-1,2,250,0.31007615
eltm-pop-1,2,251,0.31007615
eltm-pop-1,2,252,0.12178734
eltm-pop-1,2,253,0.12178734
eltm-pop-1,2,254,0.12178734
eltm-pop-1,2,255,0.16583808
eltm-pop-1,2,256,0.12178734
eltm-pop-1,2,257,0.12178734
eltm-pop-1,2,258,0.16583808
eltm-pop-1,2,259,0.16583808
eltm-pop-1,2,260,0.12698357
eltm-pop-1,2,261,0.31007615
eltm-pop-1,2,262,0.31007615
eltm-pop-1,2,263,0.026906505
eltm-pop-1,2,264,0.04109443
eltm-pop-1,2,265,0.31007615
eltm-pop-1,2,266,0.026906505
eltm-pop-1,2,267,0.011570099
eltm-pop-1,2,268,0.036638644
eltm-pop-1,2,269,0.31007615
eltm-pop-1,2,270,0.12178734
eltm-pop-1,2,271,0.04109443
eltm-pop-1,2,272,0.31007615
eltm-pop-1,2,273,0.001565502
eltm-pop-1,2,274,0.31007615
eltm-pop-1,2,275,0.31007615
eltm-pop-1,2,276,0.036638644
eltm-pop-1,2,277,0.026906505
eltm-pop-1,2,278,0.16583808
eltm-pop-1,2,279,0.16583808
eltm-pop-1,2,280,0.16583808
eltm-pop-1,2,281,0.31007615
eltm-pop-1,2,282,0.026906505
eltm-pop-1,2,283,0.026906505
eltm-pop-1,2,284,0.12178734
eltm-pop-1,2,285,0.16583808
eltm-pop-1,2,286,0.12698357
eltm-pop-1,2,287,0.31007615
eltm-pop-1,2,288,0.31007615
eltm-pop-1,2,289,0.31007615
eltm-pop-1,2,290,0.12178734
eltm-pop-1,2,291,0.12178734
eltm-pop-1,2,292,0.31007615
eltm-pop-1,2,293,0.12178734
eltm-pop-1,2,294,0.31007615
eltm-pop-1,2,295,0.036638644
